Material_ID,Material,Einheit,CO2_Faktor,Dichte
ID-Nummer,BAUMATERIALIEN,"Bezug
Référence",,
,Hinweis: Anzeigen der herstellerspezifischen und herstellerregionenspezifischen Daten durch Anklicken der '+' am linken Rand.,,,
01.002.18,"Hochbaubeton, Q-C365-M D, 220 kg CEM II/B, 40kg CEM I (ohne Bewehrung)",kg,0.107,2333.9
01.003,Tiefbaubeton (ohne Bewehrung),kg,0.109,2350.0
01.004,Bohrpfahlbeton (ohne Bewehrung),kg,0.119,2325.0
01.041,"Betonfertigteil, hochfester Beton, ab Werk",kg,0.276,2770.0
01.042,"Betonfertigteil, Normalbeton, ab Werk",kg,0.177,2500.0
01.043,Hanfbeton,kg,0.324,600.0
01.043.01,"Hanfbeton, ARBIO",kg,0.312,600.0
02,Mauersteine,,,
02.001,Backstein,kg,0.266,900.0
02.001.01,"Backstein, perlitgefüllt, zzwancor",kg,0.283,575.0
02.002,Kalksandstein,kg,0.162,1400.0
02.002.01,"Kalksandstein, FBB",kg,0.115,1600.0
02.002.02,"Kalksandstein, Hunziker Kalksandstein AG",kg,0.106,1600.0
02.003,Leichtlehmstein,kg,0.18,700.0
02.004,"Leichtzementstein, Blähton",kg,0.428,1200.0
02.005,"Leichtzementstein, Naturbims",kg,0.212,1200.0
02.006,Porenbetonstein,kg,0.426,500.0
02.007,Zementstein,kg,0.126,1700.0
02.007.01,"Erdstein, aus gepresster Erde, Terrabloc",kg,0.057,1850.0
02.007.02,"Hanfsteine, Schönthaler AG",kg,0.372,300.0
03,Andere Massivbaustoffe,,,
03.021,Betongranulat 1,kg,0.014,1500.0
03.001,Betonziegel,kg,0.209,2300.0
03.002,Faserzement-Dachschindel,kg,0.699,1800.0
03.003,Faserzementplatte gross,kg,1.03,1800.0
03.004,Faserzement-Wellplatte,kg,0.649,1800.0
03.005,Flachglas beschichtet,kg,1.2,2500.0
03.006,Flachglas unbeschichtet,kg,1.14,2500.0
03.007,Gipsfaserplatte,kg,0.552,1200.0
03.007.01,Gipsfaserplatte Fermacell,kg,0.335,1180.0
03.008,Gipskartonplatte,kg,0.301,850.0
03.016,Gips-Wandbauplatte / Vollgipsplatte,kg,0.317,1000.0
03.023,Glasfaserbeton,,,
03.023.01,Glasfaserbeton Ecomur,kg,0.823,2105.0
03.009,Hartsandsteinplatte,kg,0.0406,2500.0
03.017,Kalksteinplatte,kg,0.0736,2500.0
03.010,Keramik-/Steinzeugplatte,kg,0.793,2600.0
03.011,Kies gebrochen 1,kg,0.0176,
03.022,Mischgranulat 1,kg,0.0133,1600.0
03.012,Rundkies 1,kg,0.0157,
03.013,Sand 1,kg,0.0157,1500.0
03.014,Sanitärkeramik,kg,2.38,2000.0
03.020,Stampflehm,kg,0.0194,2000.0
03.015,Tonziegel,kg,0.385,1700.0
04,Mörtel und Putze,,,
04.008,Baukleber/Einbettmörtel mineralisch,kg,0.406,1400.0
04.010,Baukleber/Einbettmörtel mineralisch Leichtzuschlag,kg,0.426,1100.0
04.002,Baukleber/Einbettmörtel organisch,kg,0.777,1670.0
04.017,Gips-Kalk-Putz,kg,0.158,925.0
04.001,Gips-/Weissputz,kg,0.151,1100.0
04.003,Kunststoffputz (Dispersionsputz),kg,0.97,1540.0
04.013,Kalk-Zement/Zement-Kalk-Putz,kg,0.263,1550.0
04.004,Lehmputz,kg,0.0323,1800.0
04.015,Leichtputz mineralisch,kg,0.373,1000.0
04.011,Silikatputz (Dispersionssilikatputz),kg,1.08,1880.0
04.012,Silikonharzputz,kg,1.14,1670.0
04.016,Sumpfkalkputz,kg,0.51,1350.0
04.005,"Unterlagsboden Anhydrit, 60 mm",kg,0.0911,2000.0
04.006,"Unterlagsboden Zement, 85 mm",kg,0.12,1850.0
04.007,Wärmedämmputz EPS,kg,0.727,250.0
04.014,Weisszementputz,kg,0.353,1550.0
04.009,Zementputz,kg,0.261,1550.0
05,"Fenster, Sonnenschutz, Fassadenverkleidungen",,,
05.008,"Fassade, Pfosten-Riegel, Alu/Glas 1",m2,182.0,
05.022,"Fassadenplatte, Aluverbund, 4 mm",m2,43.3,7.1
05.028,"Fassadenplatte, Glasfaserbeton",,,
05.028.01,"Fassadenplatte, Glasfaserbeton Ecomur, 15mm",m2,29.762880000000003,33.6
05.028.02,"Fassadenplatte, Glasfaserbeton Ecomur, 18mm",m2,35.697739999999996,40.3
05.023,"Fassadenplatte, Hochdrucklaminatplatte (HPL), 8.1 mm",m2,46.0,11.6
05.025,"Fassadenplatte, Kalkstein, 30 mm",m2,5.74,78.0
05.024,"Fassadenplatte, Kunststoff glasfaserverstärkt (GFK), 1.6 mm",m2,22.1,2.4
05.004,"Fensterrahmen Aluminium 2,5",m2,132.0,
05.004.01,"Fensterrahmen Aluminium, WICLINE 75evo, hergestellt mit Hydro CIRCAL 75R 2,5",m2,55.6,
05.005,"Fensterrahmen Holz 2,6",m2,36.2,
05.005.01,"Fensterrahmen Holz, Saphir integral 67/55, G. Baumgartner AG 2,6",m2,25.4,
05.006,"Fensterrahmen Holz-Metall 2,6",m2,65.7,
05.006.01,"Fensterrahmen Holz-Metall, Saphir integral 55/55, G. Baumgartner AG 2,6",m2,38.0,
05.007,"Fensterrahmen Kunststoff/PVC 2,6",m2,63.4,
05.001,"Isolierverglasung 2-fach, Ug-Wert 1.1 W/m2K, Dicke 24 mm 3",m2,44.3,
05.009,"Isolierverglasung 2-fach, Ug-Wert 1.1 W/m2K, Dicke 18 mm 3",m2,48.6,
05.010,"Isolierverglasung 2-fach, ESG, Ug-Wert 1.1 W/m2K 3",m2,52.1,
05.002,"Isolierverglasung 2-fach, VSG, Ug-Wert 1.1 W/m2K 3",m2,79.3,
05.011,"Isolierverglasung 2-fach, ESG/VSG, Ug-Wert 1.1 W/m2K 3",m2,87.1,
05.003,"Isolierverglasung 3-fach, Ug-Wert 0.5 W/m2K, Dicke 36 mm 3",m2,78.3,
05.012,"Isolierverglasung 3-fach, Ug-Wert 0.6 W/m2K, Dicke 40 mm 3",m2,67.8,
05.013,"Isolierverglasung 3-fach, ESG/ESG, Ug-Wert 0.6 W/m2K 3",m2,83.3,
05.014,"Isolierverglasung 3-fach, ESG/ESG/ESG, Ug-Wert 0.6 W/m2K 3",m2,91.1,
05.015,"Isolierverglasung 3-fach, VSG, Ug-Wert 0.6 W/m2K 3",m2,103.0,
05.016,"Isolierverglasung 3-fach, ESG/VSG, Ug-Wert 0.6 W/m2K 3",m2,111.0,
05.020,Putzträgerplatte kunstharzgebunden 13 mm,m2,8.11,6.3
05.021,Putzträgerplatte mineralisch gebunden 12.5 mm,m2,6.31,14.4
05.026,"Rahmenverbreiterung, PVC",m2,69.7,15.0
05.027,"Rahmenverbreiterung, Spanplatte",m2,26.1,17.8
05.018,"Sonnenschutz, Ausstellstoren motorisiert 4",m2,67.8,
05.017,"Sonnenschutz, Lamellenstoren motorisiert 4",m2,59.9,
05.019,"Sonnenschutz, Rollladen motorisiert 4",m2,74.7,
06,Metallbaustoffe,,,
06.001,"Aluminiumblech, blank",kg,5.58,2690.0
06.002,"Aluminiumprofil, blank",kg,5.7,2690.0
06.002.01,"Aluminiumprofil blank, WICONA, hergestellt mit Hydro CIRCAL 75R",kg,2.67,2690.0
06.003,Armierungsstahl,kg,0.785,7850.0
06.003.01,"Armierungsstahl, Stahl Gerlafingen",kg,0.482,7850.0
06.014,Blei,kg,1.02,11340.0
06.004,Chromnickelstahlblech 18/8 blank,kg,4.12,7900.0
06.005,Chromnickelstahlblech 18/8 verzinnt,kg,5.88,7900.0
06.006,Chromstahlblech blank,kg,2.74,7700.0
06.007,Chromstahlblech verzinnt,kg,4.49,7700.0
06.008,"Kupferblech, blank",kg,2.2,8900.0
06.009,Messing-/Baubronzeblech,kg,2.71,8300.0
06.010,"Stahlblech, blank",kg,2.8,7850.0
06.011,"Stahlblech, verzinkt",kg,4.49,7850.0
06.012,"Stahlprofil, blank",kg,0.737,7850.0
06.013,Titanzinkblech,kg,4.03,7200.0
07,Holz und Holzwerkstoffe,,,
07.001,3- und 5-Schicht Massivholzplatte,kg,0.469,453.0
07.021,Balkenschichtholz,kg,0.342,439.0
07.003,Brettschichtholz,kg,0.335,439.0
07.003.01,"Brettschichtholz, Produktion Schweiz",kg,0.253,439.0
07.002,Brettschichtholz,kg,0.335,439.0
07.002.01,"Brettschichtholz, Produktion Schweiz",kg,0.253,439.0
07.020,Brettsperrholz,kg,0.365,436.0
07.020.01,"Brettsperrholz, Produktion Schweiz",kg,0.25,424.0
07.022,Furniersperrholz,kg,1.02,823.0
07.004,Hartfaserplatte,kg,1.07,955.0
07.005,"Holzwolle-Leichtbauplatte, zementgebunden",kg,0.534,400.0
7.025,Holzwolle Faschine,,,
07.025.01,Holzwolle Quickquader-Faschine Howolis Lindner Suisse GmbH,kg,0.296,12.6
07.023,Konstruktionsvollholz,kg,0.288,436.0
07.008,"Massivholz Buche / Eiche, kammergetrocknet, gehobelt",kg,0.152,675.0
07.008.01,"Massivholz Buche / Eiche, kammergetrocknet, gehobelt, Produktion Schweiz",kg,0.122,675.0
07.007,"Massivholz Buche / Eiche, kammergetrocknet, rau",kg,0.135,675.0
07.007.01,"Massivholz Buche / Eiche, kammergetrocknet, rau, Produktion Schweiz",kg,0.109,675.0
07.006,"Massivholz Buche / Eiche, luftgetrocknet, rau",kg,0.12,705.0
07.006.01,"Massivholz Buche / Eiche, luftgetrocknet, rau, Produktion Schweiz",kg,0.0979,705.0
07.011,"Massivholz Fichte / Tanne / Lärche, kammergetr., gehobelt",kg,0.173,465.0
07.011.01,"Massivholz Fichte / Tanne / Lärche, kammergetr., gehobelt, Produktion Schweiz",kg,0.156,465.0
07.011.02,"Massivholz Fichte / Tanne, kammergetr., Vollholzhaus holzpur",kg,0.133,420.0
07.010,"Massivholz Fichte / Tanne / Lärche, luftgetr., gehobelt",kg,0.156,485.0
07.010.01,"Massivholz Fichte / Tanne / Lärche, luftgetr., gehobelt, Produktion Schweiz",kg,0.142,485.0
07.009,"Massivholz Fichte / Tanne / Lärche, luftgetrocknet, rau",kg,0.129,485.0
07.009.01,"Massivholz Fichte / Tanne / Lärche, luftgetrocknet, rau, Produktion Schweiz",kg,0.12,485.0
07.012,"Mitteldichte Faserplatte (MDF), UF-gebunden",kg,0.954,685.0
07.013,"OSB Platte, PF-gebunden, Feuchtbereich",kg,0.563,605.0
07.024,Röhrenspanplatte,kg,0.813,272.0
07.015,"Spanplatte, PF-gebunden, Feuchtbereich",kg,0.529,640.0
07.016,"Spanplatte, UF-gebunden, beschichtet, Trockenbereich",kg,0.735,640.0
07.014,"Spanplatte, UF-gebunden, Trockenbereich",kg,0.529,640.0
07.018,"Sperrholz/Multiplex, PF-gebunden, Feuchtbereich",kg,1.43,500.0
07.017,"Sperrholz/Multiplex, UF-gebunden, Trockenbereich",kg,0.948,500.0
07.019,"Stabschichtholz, Buche",,0.0,
07.019.01,"Stabschichtholz, Buche, fagus",kg,0.367,700.0
08,Klebstoffe und Fugendichtungsmassen,,,
08.001,2-Komponenten Klebstoff,kg,4.84,1500.0
08.002,Heissbitumen,kg,1.09,1000.0
08.003,Kautschukdichtungsmasse,kg,2.42,1500.0
08.004,Polysulfiddichtungsmasse,kg,1.72,1600.0
08.005,Silicon-Fugenmasse,kg,2.91,1000.0
09,Dichtungsbahnen und Schutzfolien,,,
09.001,Dampfbremse bituminös,kg,3.64,1100.0
09.002,Dampfbremse Polyethylen (PE),kg,5.42,920.0
09.003,Dichtungsbahn bituminös,kg,3.33,1100.0
09.003.11,"Bituminöse Dichtungsbahn, swissporBIKUPLAN ECO",kg,2.92,1267.0
09.003.01,"Bituminöse Dichtungsbahn, swissporBIKUTOP",kg,3.24,1269.0
09.003.02,"Bituminöse Dichtungsbahn, swissporBIKUTOP ECO",kg,2.88,1256.0
09.003.12,Elastomerbitumen-Dichtungsbahn Sopravap EVA 35 flam,kg,3.05,4.6
09.003.13,Elastomerbitumen-Dichtungsbahn Sopralen EGV 3,kg,3.02,4.0
09.003.14,Elastomerbitumen-Dichtungsbahn Sopralen EGV 3.5,kg,3.01,4.8
09.003.15,Elastomerbitumen-Dichtungsbahn Sopralen Premier EP 5 ard flam,kg,3.06,4.8
09.003.16,Elastomerbitumen-Dichtungsbahn Sopralen Jardin EP 5 ard flam,kg,3.07,5.4
09.003.17,Elastomerbitumen-Dichtungsbahn Sopragum Flam HT-O Jardin S5,kg,3.38,5.6
09.003.18,Elastomerbitumen-Dichtungsbahn SOPREMA Vapro Alpino,kg,3.38,5.76
09.003.19,Elastomerbitumen-Dichtungsbahn SOPREMA Vapro Nature,kg,3.38,5.76
09.004,Dichtungsbahn Gummi (EPDM),kg,5.84,1100.0
09.005,Dichtungsbahn Polyolefin (FPO),kg,5.18,1000.0
9.01,Holzwolle-Erosionsschutzvlies,,,
09.010.01,Holzwolle-Erosionsschutzvlies Howolis Lindner Suisse GmbH,kg,0.835,0.284
09.010.02,Holzwolle-Erosionsschutz-/Abdeck-/Schutz-/Dämmvlies Lindner Suisse GmbH,kg,0.546,0.542
09.006,Kraftpapier,kg,1.67,650.0
09.007,Polyethylenfolie (PE),kg,5.42,920.0
09.008,Polyethylenvlies (PE),kg,5.63,920.0
10,Wärmedämmstoffe,,,
10.014,Aerogel-Vlies,kg,48.7,150.0
10.012,Blähperlit,kg,1.05,102.5
10.011,Blähvermiculit,kg,0.394,102.5
10.016,Flachsfasern,kg,1.01,30.0
10.016.01,"Flachsfasern, MAGRIPOL, Premium",kg,0.983,30.0
10.017,"Flachsfasern, feuerfest",kg,1.45,30.0
10.017.01,"Flachsfasern, feuerfest, MAGRIPOL, Premium+",kg,1.42,30.0
10.001,Glaswolle,kg,1.1,60.0
10.001.01,"Glaswolle, Isover, phenolbasiertes Bindemittel",kg,1.03,60.0
10.001.03,"Glaswolle, Isover, pflanzliches Bindemittel",kg,0.89,60.0
10.001.02,"Glaswolle, SUPAFIL",kg,1.14,35.0
10.002,Korkplatte,kg,1.11,120.0
10.003,Phenolharz (PF),kg,7.26,40.0
10.004,Polystyrol expandiert (EPS),kg,7.6,27.5
10.004.01,"Polystyrol expandiert, SwissporEPS",kg,6.95,16.8
10.004.02,swissporEPS Roof ECO,kg,5.75,26.0
10.004.03,swissporEPS R 100,kg,3.56,28.0
10.004.04,swissporLAMBDA REC 100%,kg,4.31,27.5
10.004.05,swissporLAMBDA White Mono REC100%,kg,4.48,16.0
10.004.06,swissporLAMBDA White REC 100%,kg,4.57,16.0
10.005,Polystyrol extrudiert (XPS),kg,14.4,32.5
10.005.02,"Polystyrol extrudiert, JACKODUR EVO",kg,6.65,31.1
10.005.01,"Polystyrol extrudiert, SwissporXPS",kg,6.96,34.3
10.006,Polyurethan (PUR/PIR),kg,7.44,30.0
10.006.01,"Polyurethan, SwissporPIR",kg,7.08,30.0
10.007,Schaumglas,kg,1.19,132.5
10.007.01,"Schaumglas, GLAPOR",kg,0.707,120.0
10.013,Schaumglasschotter,kg,0.266,157.5
10.013.01,"Schaumglasschotter 10/75, Misapor",kg,0.244,137.5
10.013.02,"Schaumglasschotter 10/50, Misapor",kg,0.239,175.0
10.008,Steinwolle,kg,0.816,96.0
10.008.01,"Steinwolle, Flumroc",kg,0.617,96.0
10.015,Strohballenwand,kg,0.0956,215.0
10.009,Weichfaserplatte,kg,0.725,147.5
10.010,Zellulosefasern,kg,0.28,47.5
10.010.01,"Zellulosefasern, Isofloc",kg,0.233,47.5
11,Bodenbeläge,,,
11.001,"2K-Fliessbelag Industrie (Epoxidharz), 2.25 mm",m2,18.4,4.55
11.002,"2K-Fliessbelag Wohnen/Verwaltung (Epoxidharz, PU), 2 mm",m2,13.9,3.6
11.003,"Gummigranulat versiegelt, 7.5 mm",m2,26.8,8.25
11.004,"Gussasphalt, 27.5 mm",m2,15.9,63.3
11.005,"Hartbeton einschichtig, 27.5 mm",m2,16.4,57.8
11.006,"Hartbeton zweischichtig, 35 mm",m2,16.4,73.5
11.007,"Kautschuk, 2 mm",m2,14.1,3.36
11.008,"Keramik-/Steinzeugplatte, 9 mm",m2,18.2,18.0
11.009,"Kork Fertigparkett, 10.5 mm",m2,9.07,7.8
11.010,"Kork PVC-beschichtet, 3.2 mm",m2,8.28,2.7
11.011,"Korkparkett geölt/versiegelt, 5.3 mm",m2,3.26,2.7
11.012,"Kunststeinplatte zementgebunden, 10 mm",m2,10.4,21.5
11.013,"Laminat, 8.5 mm",m2,10.4,8.5
11.014,"Linoleum, 2.5 mm",m2,6.36,2.9
11.015,"Natursteinplatte geschliffen, 15 mm",m2,16.8,40.5
11.015.01,"Natursteinplatte geschliffen, Europa, 15 mm",m2,16.6,40.5
11.015.02,"Natursteinplatte geschliffen, Schweiz, 15 mm",m2,13.4,40.5
11.015.03,"Natursteinplatte geschliffen, Übersee, 15 mm",m2,17.9,40.5
11.016,"Natursteinplatte geschnitten, 15 mm",m2,13.4,40.5
11.017,"Natursteinplatte poliert, 15 mm",m2,19.6,40.5
11.018,"Parkett 2-Schicht werkversiegelt, 11 mm",m2,7.8,6.1
11.019,"Parkett 3-Schicht werkversiegelt, 15 mm",m2,8.09,7.9
11.020,"Parkett Mosaik werkversiegelt, 8 mm",m2,3.57,5.6
11.021,"PVC homogen, 2 mm",m2,14.4,3.1
11.022,"Steinholz versiegelt, 16.5 mm",m2,12.9,22.0
11.023,"Synthetische thermoplastische Beläge (TPO), 2 mm",m2,16.0,3.4
11.024,Teppich Kunstfaser getuftet,m2,16.7,2.1
11.025,Teppich Nadelfilz,m2,9.84,1.3
11.026,Teppich Naturfaser,m2,5.08,2.7
11.027,"Terrazzo versiegelt, 40 mm",m2,17.3,95.0
12,Türen,,,
12.005,"Aussentüre, Aluminium, Glaseinsatz",m2,216.0,
12.006,"Aussentüre, Aluminium, Paneelfüllung",m2,192.0,
12.008,"Aussentüre, Holz",m2,62.2,
12.001,"Aussentüre, Holz, aluminiumbeplankt",m2,116.0,
12.002,"Aussentüre, Holz, Glaseinsatz",m2,85.7,
12.007,"Innentüre, Aluminium, Glaseinsatz",m2,166.0,
12.009,"Innentüre, Funktionstüre, Holz, Holzrahmen",m2,44.3,
12.012,"Innentüre, Funktionstüre, Holz, Stahlzarge",m2,96.8,
12.004,"Innentüre, Zimmertüre, Holz, Glaseinsatz, Holzrahmen",m2,59.7,
12.011,"Innentüre, Zimmertüre, Holz, Glaseinsatz, Stahlzarge",m2,112.0,
12.003,"Innentüre, Zimmertüre, Holz, Holzrahmen",m2,32.3,
12.010,"Innentüre, Zimmertüre, Holz, Stahlzarge",m2,84.8,
13,Rohre,,,
13.001,Acrylnitril-Butadien-Styrol (ABS),kg,7.67,1050.0
13.005,Gusseisen,kg,2.09,7850.0
13.002,Polyethylen (PE),kg,4.75,960.0
13.003,Polypropylen (PP),kg,4.78,910.0
13.004,Polyvinylchlorid (PVC),kg,4.49,1390.0
14,"Anstrichstoffe, Beschichtungen",,,
14.002,"Anstrich, lösemittelverdünnbar, 2 Anstriche",m2,0.975,0.3
14.001,"Anstrich, wasserverdünnbar, 2 Anstriche",m2,0.701,0.3
14.003,"Bitumenemulsion, 1 Anstrich",m2,0.181,0.25
14.004,"Emaillieren, Metall",m2,8.11,
14.005,"Pulverbeschichten, Aluminium",m2,3.64,
14.006,"Pulverbeschichten, Stahl",m2,4.38,
14.007,"Verchromen, Stahl",m2,0.609,
14.008,"Verzinken, Stahl",m2,6.09,
15,Kunststoffe,,,
15.001,"Plexiglas (PMMA, Acrylglas)",kg,11.6,1180.0
15.002,Polyamid (PA) glasfaserverstärkt,kg,11.5,1360.0
15.003,Polycarbonat (PC),kg,11.4,1200.0
15.004,Polyester (UP) glasfaserverstärkt,kg,9.84,1500.0
15.005,Polystyrol (PS),kg,6.72,1050.0
21,Kücheneinbauten und -möbel,,,
21.001,Abfalltrennsystem,Stk.,24.2,
21.002,"Arbeitsplatte Chromstahl, high-end",m2,332.0,
21.003,"Arbeitsplatte Chromstahl, Standard",m2,56.8,
21.004,Arbeitsplatte Kompositwerkstoff (auf Aluminiumhydroxidbasis),m2,95.5,
21.005,Arbeitsplatte kunstharzbeschichtet,m2,20.2,
21.006,Arbeitsplatte Massivholz,m2,12.6,
21.007,Arbeitsplatte Naturstein,m2,41.1,
21.008,Dampfabzug,Stk.,151.0,
21.009,"Küche, Massivholz, 16-teilig",Stk.,470.0,
21.010,"Küche, Metall, 16-teilig",Stk.,2770.0,
21.011,"Küche, Spanplatte, 16-teilig",Stk.,632.0,
21.012,Spüle Chromstahl,Stk.,48.6,
21.013,Spüle Kompositwerkstoff (auf Gesteinsmehlbasis),Stk.,30.7,
