,Ökobilanzdaten im Baubereich,,
,,,
,,,
ID-Nummer,BAUMATERIALIEN,"Bezug
Référence","Treibhausgas-
emissionen"
No d'identi-fication,,,Emissions de gaz
,,,à effet de serre
,Hinweis: Anzeigen der herstellerspezifischen und herstellerregionenspezifischen Daten durch Anklicken der '+' am linken Rand.,,Total
,,,Total
,,,kg CO2-eq
02.004,"Leichtzementstein, Blähton",kg,0.428
02.005,"Leichtzementstein, Naturbims",kg,0.212
02.006,Porenbetonstein,kg,0.426
02.007,Zementstein,kg,0.126
02.007.01,"Erdstein, aus gepresster Erde, Terrabloc",kg,0.057
02.007.02,"Hanfsteine, Schönthaler AG",kg,0.372
03,Andere Massivbaustoffe,,
03.021,Betongranulat 1,kg,0.014
03.001,Betonziegel,kg,0.209
03.002,Faserzement-Dachschindel,kg,0.699
03.003,Faserzementplatte gross,kg,1.03
03.004,Faserzement-Wellplatte,kg,0.649
03.005,Flachglas beschichtet,kg,1.2
03.006,Flachglas unbeschichtet,kg,1.14
03.007,Gipsfaserplatte,kg,0.552
03.007.01,Gipsfaserplatte Fermacell,kg,0.335
03.008,Gipskartonplatte,kg,0.301
03.016,Gips-Wandbauplatte / Vollgipsplatte,kg,0.317
03.023,Glasfaserbeton,,
03.023.01,Glasfaserbeton Ecomur,kg,0.823
03.009,Hartsandsteinplatte,kg,0.0406
03.017,Kalksteinplatte,kg,0.0736
03.010,Keramik-/Steinzeugplatte,kg,0.793
03.011,Kies gebrochen 1,kg,0.0176
03.022,Mischgranulat 1,kg,0.0133
03.012,Rundkies 1,kg,0.0157
03.013,Sand 1,kg,0.0157
03.014,Sanitärkeramik,kg,2.38
03.020,Stampflehm,kg,0.0194
03.015,Tonziegel,kg,0.385
1 Bezugsgrösse: Schüttdichte; Valeur de référence: densité apparente ,,,
04,Mörtel und Putze,,
04.008,Baukleber/Einbettmörtel mineralisch,kg,0.406
04.010,Baukleber/Einbettmörtel mineralisch Leichtzuschlag,kg,0.426
04.002,Baukleber/Einbettmörtel organisch,kg,0.777
04.017,Gips-Kalk-Putz,kg,0.158
04.001,Gips-/Weissputz,kg,0.151
04.003,Kunststoffputz (Dispersionsputz),kg,0.97
04.013,Kalk-Zement/Zement-Kalk-Putz,kg,0.263
04.004,Lehmputz,kg,0.0323
04.015,Leichtputz mineralisch,kg,0.373
04.011,Silikatputz (Dispersionssilikatputz),kg,1.08
04.012,Silikonharzputz,kg,1.14
04.016,Sumpfkalkputz,kg,0.51
04.005,"Unterlagsboden Anhydrit, 60 mm",kg,0.0911
04.006,"Unterlagsboden Zement, 85 mm",kg,0.12
04.007,Wärmedämmputz EPS,kg,0.727
04.014,Weisszementputz,kg,0.353
04.009,Zementputz,kg,0.261
05,"Fenster, Sonnenschutz, Fassadenverkleidungen",,
05.008,"Fassade, Pfosten-Riegel, Alu/Glas 1",m2,182.0
05.022,"Fassadenplatte, Aluverbund, 4 mm",m2,43.3
05.028,"Fassadenplatte, Glasfaserbeton",,
05.028.01,"Fassadenplatte, Glasfaserbeton Ecomur, 15mm",m2,29.762880000000003
05.028.02,"Fassadenplatte, Glasfaserbeton Ecomur, 18mm",m2,35.697739999999996
05.023,"Fassadenplatte, Hochdrucklaminatplatte (HPL), 8.1 mm",m2,46.0
05.025,"Fassadenplatte, Kalkstein, 30 mm",m2,5.74
05.024,"Fassadenplatte, Kunststoff glasfaserverstärkt (GFK), 1.6 mm",m2,22.1
05.004,"Fensterrahmen Aluminium 2,5",m2,132.0
05.004.01,"Fensterrahmen Aluminium, WICLINE 75evo, hergestellt mit Hydro CIRCAL 75R 2,5",m2,55.6
05.005,"Fensterrahmen Holz 2,6",m2,36.2
05.005.01,"Fensterrahmen Holz, Saphir integral 67/55, G. Baumgartner AG 2,6",m2,25.4
05.006,"Fensterrahmen Holz-Metall 2,6",m2,65.7
05.006.01,"Fensterrahmen Holz-Metall, Saphir integral 55/55, G. Baumgartner AG 2,6",m2,38.0
05.007,"Fensterrahmen Kunststoff/PVC 2,6",m2,63.4
05.001,"Isolierverglasung 2-fach, Ug-Wert 1.1 W/m2K, Dicke 24 mm 3",m2,44.3
05.009,"Isolierverglasung 2-fach, Ug-Wert 1.1 W/m2K, Dicke 18 mm 3",m2,48.6
05.010,"Isolierverglasung 2-fach, ESG, Ug-Wert 1.1 W/m2K 3",m2,52.1
05.002,"Isolierverglasung 2-fach, VSG, Ug-Wert 1.1 W/m2K 3",m2,79.3
05.011,"Isolierverglasung 2-fach, ESG/VSG, Ug-Wert 1.1 W/m2K 3",m2,87.1
05.003,"Isolierverglasung 3-fach, Ug-Wert 0.5 W/m2K, Dicke 36 mm 3",m2,78.3
05.012,"Isolierverglasung 3-fach, Ug-Wert 0.6 W/m2K, Dicke 40 mm 3",m2,67.8
05.013,"Isolierverglasung 3-fach, ESG/ESG, Ug-Wert 0.6 W/m2K 3",m2,83.3
05.014,"Isolierverglasung 3-fach, ESG/ESG/ESG, Ug-Wert 0.6 W/m2K 3",m2,91.1
05.015,"Isolierverglasung 3-fach, VSG, Ug-Wert 0.6 W/m2K 3",m2,103.0
05.016,"Isolierverglasung 3-fach, ESG/VSG, Ug-Wert 0.6 W/m2K 3",m2,111.0
05.020,Putzträgerplatte kunstharzgebunden 13 mm,m2,8.11
05.021,Putzträgerplatte mineralisch gebunden 12.5 mm,m2,6.31
05.026,"Rahmenverbreiterung, PVC",m2,69.7
05.027,"Rahmenverbreiterung, Spanplatte",m2,26.1
05.018,"Sonnenschutz, Ausstellstoren motorisiert 4",m2,67.8
05.017,"Sonnenschutz, Lamellenstoren motorisiert 4",m2,59.9
05.019,"Sonnenschutz, Rollladen motorisiert 4",m2,74.7
"1 Bezugsgrösse Fassade: Glas- und Rahmenfläche; Valeur de référence façade: surface en verre et cadres; 
2 Bezugsgrösse Fensterrahmen: Maueröffnung; Valeur de référence cadres de fenêtre: ouverture murale
3 Bezugsgrösse Isolierverglasung: Glasfläche; Valeur de référence vitrage: surface en verre; 
4 Bezugsgrösse Sonnenschutz: Fensterlichtmass; Valeur de référence protection solaire: clair de vitrage
5 Passmontage; Montage en butée émoussée
6 Anschlagmontage; Montage en butée",,,
Fensterrechner: Mit dem Fensterrechner (https://treeze.ch/de/rechner) können Umweltkennwerte von Fenstern mit projektspezifischen Abmessungen und Eigenschaften berechnet werden. ,,,
Calculateur de fenêtre: le calculateur de fenêtre (https://treeze.ch/fileadmin/user_upload/calculators/Fensterrechner_FR/Fensterrechner_FR.htm) permet de calculer les données environnementales des fenêtres avec des dimensions et des propriétés spécifiques au projet. ,,,
06,Metallbaustoffe ,,
06.001,"Aluminiumblech, blank",kg,5.58
06.002,"Aluminiumprofil, blank",kg,5.7
06.002.01,"Aluminiumprofil blank, WICONA, hergestellt mit Hydro CIRCAL 75R",kg,2.67
06.003,Armierungsstahl,kg,0.785
06.003.01,"Armierungsstahl, Stahl Gerlafingen",kg,0.482
06.014,Blei,kg,1.02
06.004,Chromnickelstahlblech 18/8 blank,kg,4.12
06.005,Chromnickelstahlblech 18/8 verzinnt,kg,5.88
06.006,Chromstahlblech blank,kg,2.74
06.007,Chromstahlblech verzinnt,kg,4.49
06.008,"Kupferblech, blank",kg,2.2
06.009,Messing-/Baubronzeblech,kg,2.71
06.010,"Stahlblech, blank",kg,2.8
06.011,"Stahlblech, verzinkt",kg,4.49
06.012,"Stahlprofil, blank",kg,0.737
06.013,Titanzinkblech,kg,4.03
07,Holz und Holzwerkstoffe,,
07.001,3- und 5-Schicht Massivholzplatte,kg,0.469
07.021,Balkenschichtholz,kg,0.342
07.003,Brettschichtholz,kg,0.335
07.003.01,"Brettschichtholz, Produktion Schweiz",kg,0.253
07.002,Brettschichtholz,kg,0.335
07.002.01,"Brettschichtholz, Produktion Schweiz",kg,0.253
07.020,Brettsperrholz,kg,0.365
07.020.01,"Brettsperrholz, Produktion Schweiz",kg,0.25
07.022,Furniersperrholz,kg,1.02
07.004,Hartfaserplatte,kg,1.07
07.005,"Holzwolle-Leichtbauplatte, zementgebunden",kg,0.534
7.025,Holzwolle Faschine,,
07.025.01,Holzwolle Quickquader-Faschine Howolis Lindner Suisse GmbH,kg,0.296
07.023,Konstruktionsvollholz,kg,0.288
07.008,"Massivholz Buche / Eiche, kammergetrocknet, gehobelt",kg,0.152
07.008.01,"Massivholz Buche / Eiche, kammergetrocknet, gehobelt, Produktion Schweiz",kg,0.122
07.007,"Massivholz Buche / Eiche, kammergetrocknet, rau",kg,0.135
